@relation Audio_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 {1,2,}

@data
6.0153,0.96337,0.051648,0.3802,1
3.3632,0.079109,0.0068778,-0.023049,1
3.8329,0.13025,0.0016856,-0.00054173,1
7.2358,1.0046,0.058856,0.44911,1
4.0005,0.27814,0.009719,0.057319,1
5.7728,0.81285,0.043731,0.31901,1
4.4113,0.56066,0.034903,0.18751,1
5.2183,1.0355,0.074124,0.40566,1
3.8156,0.55776,0.052335,0.19288,1
3.2168,0.043381,0.00090343,-0.047699,1
6.1892,0.398,0.014057,0.17861,1
3.2654,0.51249,0.011823,0.093473,1
5.0155,0.34957,0.0039475,0.10483,1
3.6476,0.41748,0.01221,0.084055,1
4.3058,0.9782,0.083477,0.37159,1
4.2713,0.4287,0.035846,0.14963,1
3.2942,0.1332,0.002721,-0.018533,1
4.8792,0.024737,0.0067264,0.020227,1
3.4792,0.0047566,0.0029911,-0.044277,1
4.4212,0.70577,0.0065833,0.17872,1
3.9662,0.23148,0.0095444,0.043659,1
2.9099,0.074029,0.014056,-0.029744,1
3.5125,0.39809,0.022397,0.090709,1
3.6228,0.049506,0.0022604,-0.028456,1
6.2262,0.3118,0.018023,0.16426,1
4.3012,0.33607,0.0074526,0.079987,1
4.819,0.31596,0.0063657,0.092658,1
3.7019,0.067663,0.0054848,-0.015439,1
4.6782,0.37302,0.062109,0.19399,1
3.8878,0.26521,0.022438,0.070668,1
3.6914,0.0075093,0.0018822,-0.037334,1
3.9455,0.36551,0.0087416,0.076213,1
4.5218,0.077769,0.0071331,0.021036,1
4.7132,0.19044,0.0042715,0.052729,1
3.2145,0.019534,0.0035668,-0.049561,1
4.4598,0.38053,0.023238,0.12353,1
4.0723,0.18832,0.0079066,0.033829,1
3.2843,0.0012591,0.00087877,-0.056071,1
2.6882,0.37406,0.004154,0.023099,1
3.5621,0.18577,0.01372,0.023374,1
3.7266,0.10476,0.00073097,-0.012746,1
3.2945,0.13274,0.0068385,-0.011851,1
2.494,0.43119,0.036129,0.083226,1
3.2303,0.15866,0.017489,0.0099766,1
3.24,0.00093689,0.00081297,-0.057947,1
2.9943,0.23119,0.0025788,-0.0048218,1
3.5785,0.2179,0.0067152,0.020757,1
4.7068,0.0014423,0.0008123,-0.0020977,1
3.5717,0.23062,0.010696,0.03035,1
4.0044,0.25825,0.040805,0.10359,1
4.259,0.42077,0.018922,0.1192,1
3.3834,0.0061567,0.0021351,-0.048967,1
3.1218,0.44974,0.0038778,0.058685,1
3.6467,0.077915,0.0070036,-0.012381,1
5.5732,0.19633,0.0018228,0.08288,1
2.903,0.036144,0.0032999,-0.057538,1
3.3278,0.34139,0.035166,0.090087,1
3.2652,0.14721,0.016702,0.0070425,1
3.1025,0.0662,0.0019093,-0.044482,1
3.356,0.0037005,0.0016268,-0.051482,1
2.8562,0.0082562,0.0031454,-0.066783,1
4.8203,0.14936,0.00055471,0.04004,1
3.2775,0.21388,0.0088537,0.011809,1
2.9669,0.61744,0.083449,0.22739,1
3.4645,0.23822,0.016221,0.037355,1
2.786,0.0025238,0.00054281,-0.075227,1
3.4656,0.06136,0.002701,-0.030636,1
2.6834,0.048285,0.002322,-0.064353,1
4.5376,0.029651,0.00056248,-0.0016423,1
3.2536,0.21913,0.0098444,0.013892,1
2.8721,0.0092991,0.0071512,-0.059304,1
3.4556,0.054551,0.0054693,-0.028211,1
2.7547,0.0024441,0.00041556,-0.076645,1
2.7946,0.0058453,0.0033401,-0.069427,1
2.3928,0.0047966,0.0023974,-0.086516,1
4.0643,0.25327,0.0021288,0.040794,1
3.8269,0.11395,0.010814,0.010067,1
3.0825,0.0057719,0.0044053,-0.056753,1
4.5757,0.44231,0.033782,0.1613,1
2.9455,0.063854,0.00060513,-0.053203,1
3.128,0.012642,0.0037842,-0.054273,1
2.4409,0.034626,0.0031077,-0.075802,1
3.3083,0.0015731,0.00075263,-0.055286,1
2.8741,0.051155,0.0021951,-0.056579,1
3.7939,0.16533,0.018517,0.034804,1
4.3421,0.3297,0.015954,0.093909,1
3.2362,0.0022164,0.00071551,-0.05792,1
3.6682,0.052061,0.0041414,-0.02297,1
2.6908,0.057688,0.0052358,-0.056836,1
3.9232,0.0026862,0.0017149,-0.030054,1
2.4732,0.14756,0.003494,-0.044732,1
2.9989,0.15283,0.021407,0.0061395,1
4.0188,0.18809,0.017989,0.048362,1
3.3076,0.02158,0.0018553,-0.048322,1
3.4555,0.037283,0.0021992,-0.038075,1
2.6012,0.0065125,0.0030207,-0.077129,1
2.771,0.025578,0.0039046,-0.064289,1
4.1175,0.074282,0.0047439,0.00083701,1
3.1889,0.22022,0.0053772,0.0043511,1
4.8838,0.21905,0.018311,0.089757,1
2.612,0.0026142,0.00056059,-0.081783,1
4.1806,0.034574,0.005554,-0.0056996,1
2.9208,0.13077,0.0092747,-0.022539,1
3.0251,0.073536,0.003607,-0.042726,1
3.1591,0.11388,0.0058195,-0.023551,1
3.3594,0.13053,0.01635,0.0057266,1
4.5639,0.31711,0.014454,0.096604,1
3.7696,0.044066,0.0015829,-0.025404,1
3.6004,0.11847,0.009639,0.00069741,1
3.3269,0.45282,0.0275,0.10623,1
3.32,0.12309,0.0021113,-0.021172,1
2.8626,0.019505,0.0018465,-0.065776,1
3.5153,0.24494,0.029627,0.063131,1
